Category,Product,Variant,Code,Supplier,UnitCost,UnitPrice,Discount,Type,UOM,Released,ID,ProductID,ProductCode,Product Description,Description,Inventory_Cebu,Inventory_Dapa,Inventory_Gen Luna
accessories,Helmet Venzo,Default,10025,Avenue Bikes,590,1050,0,Standard,,14/2/2018,216e1e0b-091c-4abe-9528-f9eebb01e885,f16346a1-2857-477f-873f-f45c696a65bc,,,<p>helmit</p>,0,0,0
accessories,Tools - Bottom Bracket Sacket,Default,10032,Avenue Bikes,75,180,0,Standard,,,276e90b5-9a63-4a28-8c29-a104d604584c,e46236d8-30c0-4027-8ad7-8021ab95ecf8,,,<p>bottom braket sacket</p>,3,2,0
accessories,Balancer 12,Default,10043,Avenue Bikes,75,150,0,Standard,,,d06c1447-ab8c-40c5-8888-598cde56358d,51cb34f3-6e48-4300-ba7d-7b3d64836c1b,,,<p>balancer 12</p>,9,13,2
accessories,Gloves CG-3210 (catcher),Default,10092,,261,530,0,Standard,,,0fd7eff9-3e42-49ff-bbab-10b12af3daab,77e80794-4595-4fab-ad06-206fae62fe58,,,,0,1,0
accessories,Kick Center Stand simi Alloy,Default,10094,Avenue Bikes,120,250,0,Standard,,,1d3ccf38-923a-44b4-8fc2-94ca656b0508,cf789063-ac7b-478a-8480-7194ccac368a,,,,0,11,-1
accessories,Bag - Double Tube Bag,Default,10098,,250,495,0,Standard,,,677ac3aa-e386-46e9-873d-b2de3ffc30ac,838c7641-3e4e-487f-bce8-06e2f16cee4f,,,,1,2,2
accessories,Bag - Triangle Frame bag,Default,10099,,250,590,0,Standard,,,48502a37-1488-4b96-8555-e12ebf396f10,d317992b-1522-47fe-85b6-7e7eb34a16df,,,,0,0,2
accessories,Tools - Folding Allen Alloy (small),Default,10101,Avenue Bikes,185,315,0,Standard,,,eacc6551-49ea-49eb-b118-88a52497518b,66d6413b-a780-4c8e-a814-17b12caa994a,,,,1,2,4
accessories,Tools - Allen Z Type,Default,10108,Avenue Bikes,13.5,35,0,Standard,,,ea35c99b-9a12-44c9-9e53-b9a41c9eae74,6ea06258-8aad-464f-919e-235cc1cc8294,,,,10,20,14
accessories,Pump - Foot Pump Car Type w-Gauge,Default,10109,,120,210,0,Standard,,,d7969c92-9f0c-4b64-b798-b18913fd6749,e66320da-cd0a-483b-9b49-df6d43932963,,,,0,0,0
